sis_habilitado,fecha_cobro,fecha_mora,numero_cuota,valor_cuota,valor_pagado_cuota,valor_tasa_administrativa,valor_impuesto,abono_capital,esta_pagado,esta_mora,id_historico_plan_contrato,dispositivo,rastreo,dispositivo_esta_pagado,rastreo_esta_pagado
A,2023-06-05,2023-06-16,14,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2023-07-05,2023-07-16,15,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2023-08-05,2023-08-16,16,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2023-09-05,2023-09-16,17,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2023-10-05,2023-10-16,18,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2023-11-05,2023-11-16,19,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2023-12-05,2023-12-16,20,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2024-01-05,2024-01-16,21,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2024-02-05,2024-02-16,22,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2024-03-05,2024-03-16,23,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2024-04-05,2024-04-16,24,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2024-05-05,2024-05-16,25,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2024-06-05,2024-06-16,26,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2024-07-05,2024-07-16,27,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2024-08-05,2024-08-16,28,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2024-09-05,2024-09-16,29,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2024-10-05,2024-10-16,30,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2024-11-05,2024-11-16,31,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2024-12-05,2024-12-16,32,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2025-01-05,2025-01-16,33,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2025-02-05,2025-02-16,34,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2025-03-05,2025-03-16,35,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2025-04-05,2025-04-16,36,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2025-05-05,2025-05-16,37,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2025-06-05,2025-06-16,38,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2025-07-05,2025-07-16,39,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2025-08-05,2025-08-16,40,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2025-09-05,2025-09-16,41,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2025-10-05,2025-10-16,42,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2025-11-05,2025-11-16,43,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2025-12-05,2025-12-16,44,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2026-01-05,2026-01-16,45,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2026-02-05,2026-02-16,46,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2026-03-05,2026-03-16,47,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2026-04-05,2026-04-16,48,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2026-05-05,2026-05-16,49,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2026-06-05,2026-06-16,50,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2026-07-05,2026-07-16,51,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2026-08-05,2026-08-16,52,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2026-09-05,2026-09-16,53,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2026-10-05,2026-10-16,54,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2026-11-05,2026-11-16,55,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2026-12-05,2026-12-16,56,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2027-01-05,2027-01-16,57,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2027-02-05,2027-02-16,58,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2027-03-05,2027-03-16,59,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2027-04-05,2027-04-16,60,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2027-05-05,2027-05-16,61,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2027-06-05,2027-06-16,62,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2027-07-05,2027-07-16,63,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2027-08-05,2027-08-16,64,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2027-09-05,2027-09-16,65,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2027-10-05,2027-10-16,66,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2027-11-05,2027-11-16,67,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2027-12-05,2027-12-16,68,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2028-01-05,2028-01-16,69,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2028-02-05,2028-02-16,70,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2028-03-05,2028-03-16,71,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2028-04-05,2028-04-16,72,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2028-05-05,2028-05-16,73,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2028-06-05,2028-06-16,74,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2028-07-05,2028-07-16,75,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2028-08-05,2028-08-16,76,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2028-09-05,2028-09-16,77,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2028-10-05,2028-10-16,78,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2028-11-05,2028-11-16,79,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2028-12-05,2028-12-16,80,107.00,64.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2029-01-05,2029-01-16,81,107.00,107.00,31.76,3.81,71.43,S,N,2,0.00,0.00,N,N
A,2029-02-05,2029-02-16,82,107.00,107.00,31.76,3.81,71.43,S,N,2,0.00,0.00,N,N
A,2029-03-05,2029-03-16,83,107.00,107.00,31.76,3.81,71.43,S,N,2,0.00,0.00,N,N
A,2029-04-05,2029-04-16,84,107.00,107.00,31.76,3.81,71.43,S,N,2,0.00,0.00,N,N
A,2022-01-26,2022-02-06,1,87.00,87.00,13.90,1.67,71.43,S,N,3,0.00,0.00,N,N
A,2022-02-26,2022-03-06,2,87.00,87.00,13.90,1.67,71.43,S,N,3,0.00,0.00,N,N
A,2022-03-26,2022-04-06,3,87.00,87.00,13.90,1.67,71.43,S,N,3,0.00,0.00,N,N
A,2022-04-26,2022-05-06,4,87.00,87.00,13.90,1.67,71.43,S,N,3,0.00,0.00,N,N
A,2022-05-26,2022-06-06,5,87.00,87.00,13.90,1.67,71.43,S,N,3,0.00,0.00,N,N
A,2022-06-26,2022-07-06,6,87.00,87.00,13.90,1.67,71.43,S,N,3,0.00,0.00,N,N
A,2022-07-26,2022-08-06,7,87.00,87.00,13.90,1.67,71.43,S,N,3,0.00,0.00,N,N
A,2022-08-26,2022-09-06,8,87.00,0.00,13.90,1.67,71.43,N,S,3,0.00,0.00,N,N
A,2022-09-26,2022-10-06,9,87.00,0.00,13.90,1.67,71.43,N,S,3,0.00,0.00,N,N
A,2022-10-26,2022-11-06,10,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2022-11-26,2022-12-06,11,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2022-12-26,2023-01-06,12,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2023-01-26,2023-02-06,13,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2023-02-26,2023-03-06,14,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2023-03-26,2023-04-06,15,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2023-04-26,2023-05-06,16,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2023-05-26,2023-06-06,17,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2023-06-26,2023-07-06,18,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2023-07-26,2023-08-06,19,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2023-08-26,2023-09-06,20,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2023-09-26,2023-10-06,21,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2023-10-26,2023-11-06,22,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2023-11-26,2023-12-06,23,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2023-12-26,2024-01-06,24,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2024-01-26,2024-02-06,25,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2024-02-26,2024-03-06,26,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2024-03-26,2024-04-06,27,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2024-04-26,2024-05-06,28,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2024-05-26,2024-06-06,29,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2024-06-26,2024-07-06,30,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2024-07-26,2024-08-06,31,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2024-08-26,2024-09-06,32,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2024-09-26,2024-10-06,33,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2024-10-26,2024-11-06,34,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2024-11-26,2024-12-06,35,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2024-12-26,2025-01-06,36,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2025-01-26,2025-02-06,37,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2025-02-26,2025-03-06,38,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2025-03-26,2025-04-06,39,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2025-04-26,2025-05-06,40,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2025-05-26,2025-06-06,41,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2025-06-26,2025-07-06,42,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2025-07-26,2025-08-06,43,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2025-08-26,2025-09-06,44,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2025-09-26,2025-10-06,45,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2025-10-26,2025-11-06,46,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2025-11-26,2025-12-06,47,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2025-12-26,2026-01-06,48,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2026-01-26,2026-02-06,49,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2026-02-26,2026-03-06,50,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2026-03-26,2026-04-06,51,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2026-04-26,2026-05-06,52,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2026-05-26,2026-06-06,53,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2026-06-26,2026-07-06,54,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2026-07-26,2026-08-06,55,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2026-08-26,2026-09-06,56,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2026-09-26,2026-10-06,57,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2026-10-26,2026-11-06,58,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2026-11-26,2026-12-06,59,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2026-12-26,2027-01-06,60,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2027-01-26,2027-02-06,61,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2027-02-26,2027-03-06,62,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2027-03-26,2027-04-06,63,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2027-04-26,2027-05-06,64,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2027-05-26,2027-06-06,65,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2027-06-26,2027-07-06,66,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2027-07-26,2027-08-06,67,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2027-08-26,2027-09-06,68,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2027-09-26,2027-10-06,69,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2027-10-26,2027-11-06,70,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2027-11-26,2027-12-06,71,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2027-12-26,2028-01-06,72,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2028-01-26,2028-02-06,73,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2028-02-26,2028-03-06,74,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2028-03-26,2028-04-06,75,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2028-04-26,2028-05-06,76,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2028-05-26,2028-06-06,77,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2028-06-26,2028-07-06,78,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2028-07-26,2028-08-06,79,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2028-08-26,2028-09-06,80,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2028-09-26,2028-10-06,81,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2028-10-26,2028-11-06,82,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2028-11-26,2028-12-06,83,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2028-12-26,2029-01-06,84,87.00,0.00,13.90,1.67,71.43,N,N,3,0.00,0.00,N,N
A,2020-07-08,2020-07-19,1,150.00,150.00,22.32,2.68,125.00,S,N,4,0.00,0.00,N,N
A,2020-08-08,2020-08-19,2,150.00,150.00,22.32,2.68,125.00,S,N,4,0.00,0.00,N,N
A,2020-09-08,2020-09-19,3,150.00,150.00,22.32,2.68,125.00,S,N,4,0.00,0.00,N,N
A,2020-10-08,2020-10-19,4,150.00,150.00,22.32,2.68,125.00,S,N,4,0.00,0.00,N,N
A,2020-11-08,2020-11-19,5,150.00,150.00,22.32,2.68,125.00,S,N,4,0.00,0.00,N,N
A,2020-12-08,2020-12-19,6,150.00,150.00,22.32,2.68,125.00,S,N,4,0.00,0.00,N,N
A,2021-01-08,2021-01-19,7,150.00,0.00,22.32,2.68,125.00,N,N,4,0.00,0.00,N,N
A,2021-02-08,2021-02-19,8,150.00,0.00,22.32,2.68,125.00,N,N,4,0.00,0.00,N,N
A,2021-03-08,2021-03-19,9,150.00,0.00,22.32,2.68,125.00,N,N,4,0.00,0.00,N,N
A,2021-04-08,2021-04-19,10,150.00,0.00,22.32,2.68,125.00,N,N,4,0.00,0.00,N,N
A,2021-05-08,2021-05-19,11,150.00,0.00,22.32,2.68,125.00,N,N,4,0.00,0.00,N,N
A,2021-06-08,2021-06-19,12,150.00,0.00,22.32,2.68,125.00,N,N,4,0.00,0.00,N,N
A,2021-07-08,2021-07-19,13,150.00,0.00,22.32,2.68,125.00,N,N,4,0.00,0.00,N,N
A,2021-08-08,2021-08-19,14,150.00,0.00,22.32,2.68,125.00,N,N,4,0.00,0.00,N,N
A,2021-09-08,2021-09-19,15,150.00,0.00,22.32,2.68,125.00,N,N,4,0.00,0.00,N,N
A,2021-10-08,2021-10-19,16,150.00,0.00,22.32,2.68,125.00,N,N,4,0.00,0.00,N,N
A,2021-11-08,2021-11-19,17,150.00,0.00,22.32,2.68,125.00,N,N,4,0.00,0.00,N,N
A,2021-12-08,2021-12-19,18,150.00,0.00,22.32,2.68,125.00,N,N,4,0.00,0.00,N,N
A,2022-01-08,2022-01-19,19,150.00,0.00,22.32,2.68,125.00,N,N,4,0.00,0.00,N,N
A,2022-02-08,2022-02-19,20,150.00,0.00,22.32,2.68,125.00,N,N,4,0.00,0.00,N,N
A,2022-03-08,2022-03-19,21,150.00,0.00,22.32,2.68,125.00,N,N,4,0.00,0.00,N,N
A,2022-04-08,2022-04-19,22,150.00,0.00,22.32,2.68,125.00,N,N,4,0.00,0.00,N,N
A,2022-05-08,2022-05-19,23,150.00,0.00,22.32,2.68,125.00,N,N,4,0.00,0.00,N,N
A,2022-06-08,2022-06-19,24,150.00,0.00,22.32,2.68,125.00,N,N,4,0.00,0.00,N,N
A,2022-07-08,2022-07-19,25,150.00,0.00,22.32,2.68,125.00,N,N,4,0.00,0.00,N,N
A,2022-08-08,2022-08-19,26,150.00,0.00,22.32,2.68,125.00,N,N,4,0.00,0.00,N,N
A,2022-09-08,2022-09-19,27,150.00,0.00,22.32,2.68,125.00,N,N,4,0.00,0.00,N,N
A,2022-10-08,2022-10-19,28,150.00,0.00,22.32,2.68,125.00,N,N,4,0.00,0.00,N,N
A,2022-11-08,2022-11-19,29,150.00,0.00,22.32,2.68,125.00,N,N,4,0.00,0.00,N,N
A,2022-12-08,2022-12-19,30,150.00,0.00,22.32,2.68,125.00,N,N,4,0.00,0.00,N,N
A,2023-01-08,2023-01-19,31,150.00,0.00,22.32,2.68,125.00,N,N,4,0.00,0.00,N,N
A,2023-02-08,2023-02-19,32,150.00,0.00,22.32,2.68,125.00,N,N,4,0.00,0.00,N,N
A,2023-03-08,2023-03-19,33,150.00,0.00,22.32,2.68,125.00,N,N,4,0.00,0.00,N,N
A,2023-04-08,2023-04-19,34,150.00,0.00,22.32,2.68,125.00,N,N,4,0.00,0.00,N,N
A,2023-05-08,2023-05-19,35,150.00,0.00,22.32,2.68,125.00,N,N,4,0.00,0.00,N,N
A,2023-06-08,2023-06-19,36,150.00,0.00,22.32,2.68,125.00,N,N,4,0.00,0.00,N,N
A,2023-07-08,2023-07-19,37,150.00,0.00,22.32,2.68,125.00,N,N,4,0.00,0.00,N,N
A,2023-08-08,2023-08-19,38,150.00,0.00,22.32,2.68,125.00,N,N,4,0.00,0.00,N,N
A,2023-09-08,2023-09-19,39,150.00,0.00,22.32,2.68,125.00,N,N,4,0.00,0.00,N,N
A,2023-10-08,2023-10-19,40,150.00,0.00,22.32,2.68,125.00,N,N,4,0.00,0.00,N,N
A,2023-11-08,2023-11-19,41,150.00,0.00,22.32,2.68,125.00,N,N,4,0.00,0.00,N,N
